,Country,Happiness Score,Social Support over Happiness,Economy over Happiness
0,Norway,7.537000179290769,0.20346603729477614,0.21447036565001107
1,Denmark,7.52199983596802,0.2062113302774425,0.19707299190346755
2,Iceland,7.50400018692017,0.21462872693441656,0.1973124978037466
3,Switzerland,7.49399995803833,0.20241683394250845,0.2088310064031969
4,Finland,7.468999862670901,0.2062186040168985,0.19327513076791666
5,Netherlands,7.3769998550415,0.19370194542066332,0.2038694137107014
6,Canada,7.31599998474121,0.20248072641930712,0.2021875914926405
7,New Zealand,7.31400012969971,0.21167556688791775,0.1921938779169114
8,Sweden,7.28399991989136,0.2029327547656709,0.2051602533573845
9,Australia,7.28399991989136,0.2073094410681572,0.20379117949443087
10,Israel,7.212999820709231,0.19080687618634984,0.19068105609153374
11,Costa Rica,7.0789999961853,0.20008527362632506,0.15676031688284414
12,Austria,7.00600004196167,0.20838494928789889,0.21226052732363312
13,United States,6.993000030517581,0.20304884277152163,0.2211152977651317
14,Ireland,6.9770002365112305,0.22333826322476458,0.22010987347447372
15,Germany,6.9510002136230495,0.21184294434691042,0.21405888907852935
16,Belgium,6.89099979400635,0.2122061735709453,0.21241921412307202
17,Luxembourg,6.86299991607666,0.21238287682815976,0.25381664273564336
18,United Kingdom,6.71400022506714,0.22288651027440584,0.21472056768193268
19,Chile,6.65199995040894,0.19302840700761326,0.18833202332143786
20,United Arab Emirates,6.6479997634887695,0.1904949272930896,0.24463649629109935
21,Brazil,6.6350002288818395,0.2157205659607702,0.1668957305576214
22,Czech Republic,6.60900020599365,0.21695947526413614,0.20467276591084127
23,Argentina,6.59899997711182,0.21828324748722933,0.17961743699340146
24,Mexico,6.57800006866455,0.18407755352529612,0.1753091830078951
25,Singapore,6.57200002670288,0.20599731557804146,0.25749812279833817
26,Malta,6.52699995040894,0.2280391720961352,0.20580356193780094
27,Uruguay,6.4539999961853,0.2188143585169695,0.18865195165222973
28,Guatemala,6.4539999961853,0.19454372395044253,0.13511031089058695
29,Panama,6.4520001411438,0.2128320704761164,0.19121953022081042
30,France,6.44199991226196,0.2154264002724527,0.22212410453318746
31,Thailand,6.4239997863769505,0.22194777445304797,0.17557110975390347
32,Taiwan Province of China,6.42199993133545,0.21559722332566744,0.2232367717039991
33,Spain,6.40299987792969,0.23927704693692228,0.21621082160466376
34,Qatar,6.375,0.19988970663033256,0.29345344094669173
35,Colombia,6.35699987411499,0.22057306346314962,0.16841628852361587
36,Saudi Arabia,6.343999862670901,0.20281803701230583,0.24127105742700927
37,Trinidad and Tobago,6.1680002212524405,0.22377244972916654,0.22071268675928168
38,Kuwait,6.10500001907349,0.20633886071301522,0.2674778782316451
39,Slovakia,6.09800004959106,0.2468119432615405,0.21734889255000953
40,Bahrain,6.08699989318848,0.21736659839860473,0.2445231291485308
41,Malaysia,6.08400011062622,0.21115154682475715,0.21223132746399417
42,Nicaragua,6.07100009918213,0.2120269623879088,0.12144608661297965
43,Ecuador,6.00799989700317,0.21407603790855415,0.1665812941890871
44,El Salvador,6.002999782562259,0.1969223945312495,0.15155497730873024
45,Poland,5.97300004959106,0.24204117835697328,0.21627119572285153
46,Uzbekistan,5.97100019454956,0.2594153574142349,0.1317101092109587
47,Italy,5.96400022506714,0.24227418295467182,0.23391458187003425
48,Russia,5.962999820709231,0.2463998713507215,0.2149552466362907
49,Belize,5.955999851226809,0.18156780154606972,0.1524471690274882
50,Japan,5.92000007629395,0.2426246300887464,0.23934377703352497
51,Lithuania,5.90199995040894,0.249663862925555,0.22273506589555037
52,Algeria,5.872000217437741,0.1952005148087093,0.18594421427722924
53,Latvia,5.849999904632571,0.24012221621851082,0.21551258894949085
54,South Korea,5.837999820709231,0.1932638704035299,0.24009566392633713
55,Moldova,5.837999820709231,0.2144271342077742,0.12484937523957218
56,Romania,5.824999809265139,0.19744057135326007,0.20904445514087813
57,Bolivia,5.82299995422363,0.21082243887755042,0.14318333721485169
58,Turkmenistan,5.82200002670288,0.25646670465311067,0.19422479522088265
59,Kazakhstan,5.8189997673034695,0.23790497869966026,0.22075207441380507
60,North Cyprus,5.80999994277954,0.20418302733819907,0.23182638974437395
61,Slovenia,5.75799989700317,0.25226100151870673,0.2329291383366903
62,Peru,5.71500015258789,0.21325815437408543,0.1811417750723725
63,Mauritius,5.62900018692017,0.2148802540714348,0.21129783397003427
64,Cyprus,5.62099981307983,0.20127438361308878,0.24122720549069382
65,Estonia,5.61100006103516,0.26317431538048364,0.23540889784416155
66,Belarus,5.5689997673034695,0.2594622511321342,0.2076777892427619
67,Libya,5.525000095367429,0.2457129966819897,0.19942136567022756
68,Turkey,5.5,0.24322785030711816,0.21786806800148725
69,Paraguay,5.493000030517581,0.2744010324613862,0.16976830731751008
70,"Hong Kong S.A.R., China",5.47200012207031,0.23077318899482188,0.2835663026716819
71,Philippines,5.42999982833862,0.23092405424000953,0.15795566160718724
72,Serbia,5.39499998092651,0.23321405038918175,0.19820529806299847
73,Jordan,5.33599996566772,0.2322130623892642,0.1857219641687615
74,Hungary,5.32399988174438,0.2522789484898523,0.241549955455492
75,Jamaica,5.31099987030029,0.2576196757148121,0.1742759051152392
76,Croatia,5.2930002212524405,0.18287983505921407,0.23097604048782494
77,Kosovo,5.27899980545044,0.21554338798278108,0.18023951832128735
78,China,5.2729997634887695,0.22014744243273895,0.20503808819489294
79,Pakistan,5.26900005340576,0.12766951655825837,0.1379547396563261
80,Indonesia,5.26200008392334,0.24219777251261193,0.18919395219703034
81,Venezuela,5.25,0.2726357323782781,0.21493927637736
82,Montenegro,5.23699998855591,0.23646677504840502,0.2140784873782019
83,Morocco,5.2350001335144,0.14801612520222326,0.1677391707187198
84,Azerbaijan,5.234000205993651,0.2201758138800975,0.22040537260804788
85,Dominican Republic,5.230000019073491,0.2681485087898053,0.20638122993899036
86,Greece,5.2270002365112305,0.23711775715223787,0.246697421612883
87,Lebanon,5.22499990463257,0.21619603218545838,0.20573924408213073
88,Portugal,5.19500017166138,0.26314590436363255,0.2531617423326287
89,Bosnia and Herzegovina,5.18200016021729,0.2063558287221591,0.1895811245185388
90,Honduras,5.1810002326965305,0.22079616431875865,0.14101005306320247
91,Macedonia,5.175000190734861,0.2334092694560146,0.2057155358239683
92,Somalia,5.151000022888179,0.14000220320798204,0.004395881224756841
93,Vietnam,5.07399988174438,0.25177204589553004,0.15540945878041523
94,Nigeria,5.07399988174438,0.23960790527235934,0.15446517035275728
95,Tajikistan,5.04099988937378,0.25222442032501174,0.1040891979685847
96,Bhutan,5.01100015640259,0.2674369332682062,0.17669454417804306
97,Kyrgyzstan,5.0040001869201705,0.2786248079763296,0.11914869180912135
98,Nepal,4.961999893188481,0.23766289534144797,0.09669895247657416
99,Mongolia,4.95499992370605,0.30131407854273284,0.20731299322092572
